gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15830877|ref|NP_309650.1|	endopeptidase	ECs1623	NA
gi|15832726|ref|NP_311499.1|	30S ribosomal protein S16	ECs3472	rpsP
gi|15832727|ref|NP_311500.1|	signal recognition particle protein	ECs3473	NA
gi|15832724|ref|NP_311497.1|	tRNA (guanine-N(1)-)-methyltransferase	ECs3470	trmD
gi|15834572|ref|NP_313345.1|	oxidoreductase	ECs5318	NA
gi|15832722|ref|NP_311495.1|	outer membrane lipoprotein	ECs3468	NA
gi|15832723|ref|NP_311496.1|	50S ribosomal protein L19	ECs3469	rplS
gi|15829979|ref|NP_308752.1|	potassium-transporting ATPase subunit B	ECs0725	NA
gi|15829978|ref|NP_308751.1|	potassium-transporting ATPase subunit C	ECs0724	NA
gi|15829977|ref|NP_308750.1|	sensor protein KdpD	ECs0723	NA
gi|15829976|ref|NP_308749.1|	KdpE family transcriptional regulator	ECs0722	NA
gi|15829975|ref|NP_308748.1|	ornithine decarboxylase	ECs0721	NA
gi|15829974|ref|NP_308747.1|	putrescine transporter	ECs0720	potE
gi|15829973|ref|NP_308746.1|	phosphoglucomutase	ECs0719	NA
gi|15829972|ref|NP_308745.1|	replication initiation regulator SeqA	ECs0718	NA
gi|15829971|ref|NP_308744.1|	hypothetical protein ECs0717	ECs0717	NA
gi|15829970|ref|NP_308743.1|	LexA regulated protein	ECs0716	NA
gi|15831898|ref|NP_310671.1|	tail tube protein	ECs2644	NA
gi|15830661|ref|NP_309434.1|	hypothetical protein ECs1407	ECs1407	NA
gi|38704115|ref|NP_311591.2|	D-arabinose 5-phosphate isomerase	ECs3564	gutQ
gi|15830660|ref|NP_309433.1|	hypothetical protein ECs1406	ECs1406	NA
gi|15829379|ref|NP_308152.1|	spermidine synthase	ECs0125	NA
gi|15829378|ref|NP_308151.1|	S-adenosylmethionine decarboxylase	ECs0124	NA
gi|15834433|ref|NP_313206.1|	50S ribosomal protein L9	ECs5179	rplI
gi|15830663|ref|NP_309436.1|	hypothetical protein ECs1409	ECs1409	NA
gi|15829371|ref|NP_308144.1|	transcriptional regulator PdhR	ECs0117	pdhR
gi|15829370|ref|NP_308143.1|	aromatic amino acid transporter	ECs0116	NA
gi|15829373|ref|NP_308146.1|	dihydrolipoamide acetyltransferase	ECs0119	aceF
gi|15829372|ref|NP_308145.1|	pyruvate dehydrogenase subunit E1	ECs0118	aceE
gi|15829375|ref|NP_308148.1|	hypothetical protein ECs0121	ECs0121	NA
gi|15829374|ref|NP_308147.1|	dihydrolipoamide dehydrogenase	ECs0120	lpdA
gi|15829376|ref|NP_308149.1|	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	ECs0122	NA
gi|162139722|ref|NP_312252.3|	DNA-binding transcriptional regulator FrlR	ECs4225	NA
gi|38704075|ref|NP_311235.2|	5-methylaminomethyl-2-thiouridine methyltransferase	ECs3208	mnmC
gi|162139720|ref|NP_311807.3|	hypothetical protein ECs3780	ECs3780	NA
gi|162139721|ref|NP_312078.3|	hypothetical protein ECs4051	ECs4051	NA
gi|162139726|ref|NP_313379.2|	NTPase	ECs5352	NA
gi|162139727|ref|NP_313377.2|	lytic murein transglycosylase	ECs5350	NA
gi|162139724|ref|NP_312348.3|	hypothetical protein ECs4321	ECs4321	NA
gi|38704074|ref|NP_944556.1|	hypothetical protein ECs5487	ECs5487	NA
gi|162139728|ref|NP_313375.2|	nicotinamide-nucleotide adenylyltransferase	ECs5348	NA
gi|15834512|ref|NP_313285.1|	hypothetical protein ECs5258	ECs5258	NA
gi|38704077|ref|NP_311253.2|	hypothetical protein ECs3226	ECs3226	NA
gi|15833523|ref|NP_312296.1|	glycerol-3-phosphate dehydrogenase	ECs4269	glpD
gi|15833522|ref|NP_312295.1|	thiosulfate sulfurtransferase	ECs4268	glpE
gi|15832838|ref|NP_311611.1|	hydrogenase assembly chaperone	ECs3584	NA
gi|38704076|ref|NP_311241.2|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	ECs3215	NA
gi|15833527|ref|NP_312300.1|	glycogen phosphorylase	ECs4273	NA
gi|15833526|ref|NP_312299.1|	hypothetical protein ECs4272	ECs4272	NA
gi|15833525|ref|NP_312298.1|	ABC transporter ATP-binding protein	ECs4271	NA
gi|15830279|ref|NP_309052.1|	FimH-like protein	ECs1025	NA
gi|15830276|ref|NP_309049.1|	chaperone	ECs1022	NA
gi|38704071|ref|NP_311194.2|	NADH dehydrogenase subunit G	ECs3167	NA
gi|15830274|ref|NP_309047.1|	NAD(P)H-dependent FMN reductase	ECs1020	NA
gi|15830275|ref|NP_309048.1|	fimbrial-like protein	ECs1021	NA
gi|15830272|ref|NP_309045.1|	alkanesulfonate monooxygenase	ECs1018	NA
gi|15830273|ref|NP_309046.1|	alkanesulfonate transporter substrate-binding subunit	ECs1019	NA
gi|15830270|ref|NP_309043.1|	aliphatic sulfonates transport ATP-binding protein	ECs1016	ssuB
gi|15830271|ref|NP_309044.1|	alkanesulfonate transporter permease	ECs1017	ssuC
gi|15834103|ref|NP_312876.1|	ferredoxin-NADP reductase	ECs4849	NA
gi|15832242|ref|NP_311015.1|	regulatory protein CII	ECs2988	NA
gi|15834115|ref|NP_312888.1|	DNA-binding transcriptional regulator CytR	ECs4861	NA
gi|15834511|ref|NP_313284.1|	hypothetical protein ECs5257	ECs5257	NA
gi|38704072|ref|NP_311199.2|	NADH dehydrogenase subunit A	ECs3172	NA
gi|162139778|ref|NP_310909.2|	multidrug efflux system subunit MdtA	ECs2882	NA
gi|15830063|ref|NP_308836.1|	exonuclease	ECs0809	NA
gi|15834239|ref|NP_313012.1|	hypothetical protein ECs4985	ECs4985	NA
gi|38704205|ref|NP_312803.2|	hypothetical protein ECs4776	ECs4776	NA
gi|15830062|ref|NP_308835.1|	hypothetical protein ECs0808	ECs0808	NA
gi|15831401|ref|NP_310174.1|	dipeptidyl carboxypeptidase II	ECs2147	NA
gi|15830061|ref|NP_308834.1|	hypothetical protein ECs0807	ECs0807	NA
gi|15834162|ref|NP_312935.1|	50S ribosomal protein L10	ECs4908	rplJ
gi|15834163|ref|NP_312936.1|	50S ribosomal protein L7/L12	ECs4909	rplL
gi|15831909|ref|NP_310682.1|	amino-acid ABC transporter ATP-binding protein	ECs2655	NA
gi|15831908|ref|NP_310681.1|	SdiA family transcriptional regulator	ECs2654	NA
gi|15831459|ref|NP_310232.1|	replication protein	ECs2205	NA
gi|15831458|ref|NP_310231.1|	hypothetical protein ECs2204	ECs2204	NA
gi|15834164|ref|NP_312937.1|	DNA-directed RNA polymerase subunit beta	ECs4910	rpoB
gi|15834165|ref|NP_312938.1|	DNA-directed RNA polymerase subunit beta'	ECs4911	NA
gi|15831455|ref|NP_310228.1|	hypothetical protein ECs2201	ECs2201	NA
gi|15831454|ref|NP_310227.1|	hypothetical protein ECs2200	ECs2200	NA
gi|15831457|ref|NP_310230.1|	hypothetical protein ECs2203	ECs2203	NA
gi|15831456|ref|NP_310229.1|	hypothetical protein ECs2202	ECs2202	NA
gi|15831451|ref|NP_310224.1|	hypothetical protein ECs2197	ECs2197	NA
gi|15831450|ref|NP_310223.1|	hypothetical protein ECs2196	ECs2196	NA
gi|15831453|ref|NP_310226.1|	hypothetical protein ECs2199	ECs2199	NA
gi|15831452|ref|NP_310225.1|	MokW protein	ECs2198	NA
gi|15834360|ref|NP_313133.1|	DcuR family transcriptional regulator	ECs5106	NA
gi|15831873|ref|NP_310646.1|	hypothetical protein ECs2619	ECs2619	NA
gi|15834362|ref|NP_313135.1|	hypothetical protein ECs5108	ECs5108	NA
gi|15834363|ref|NP_313136.1|	hypothetical protein ECs5109	ECs5109	NA
gi|15834364|ref|NP_313137.1|	hypothetical protein ECs5110	ECs5110	NA
gi|38704172|ref|NP_312385.2|	transporter	ECs4358	NA
gi|15834366|ref|NP_313139.1|	peptide transporter	ECs5112	NA
gi|15831872|ref|NP_310645.1|	hypothetical protein ECs2618	ECs2618	NA
gi|15834368|ref|NP_313141.1|	lysine/cadaverine antiporter	ECs5114	cadB
gi|15834369|ref|NP_313142.1|	CadC family transcriptional regulator	ECs5115	NA
gi|15830064|ref|NP_308837.1|	protein NinE	ECs0810	NA
gi|15834279|ref|NP_313052.1|	diacylglycerol kinase	ECs5025	NA
gi|38704260|ref|NP_313325.2|	hypothetical protein ECs5298	ECs5298	NA
gi|15832908|ref|NP_311681.1|	7-cyano-7-deazaguanine reductase	ECs3654	queF
gi|15832909|ref|NP_311682.1|	hypothetical protein ECs3655	ECs3655	NA
gi|15832906|ref|NP_311679.1|	hypothetical protein ECs3652	ECs3652	NA
gi|15832907|ref|NP_311680.1|	SecY interacting protein Syd	ECs3653	NA
gi|15830924|ref|NP_309697.1|	septum formation inhibitor	ECs1670	minC
gi|15832860|ref|NP_311633.1|	sulfate adenylyltransferase subunit 2	ECs3606	NA
gi|15832902|ref|NP_311675.1|	glucarate dehydratase, partial	ECs3648	NA
gi|15832903|ref|NP_311676.1|	transporter	ECs3649	NA
gi|15832900|ref|NP_311673.1|	hybrid sensory histidine kinase BarA	ECs3646	NA
gi|15832901|ref|NP_311674.1|	glucarate dehydratase	ECs3647	NA
gi|15834118|ref|NP_312891.1|	protein RhsH	ECs4864	NA
gi|38704056|ref|NP_944553.1|	hypothetical protein ECs5482	ECs5482	NA
gi|38704167|ref|NP_312323.2|	glycerol-3-phosphate transporter ATP-binding protein	ECs4296	ugpC
gi|15833723|ref|NP_312496.1|	glutathione S-transferase	ECs4469	NA
gi|15832888|ref|NP_311661.1|	hypothetical protein ECs3634	ECs3634	NA
gi|15833419|ref|NP_312192.1|	preprotein translocase subunit SecY	ECs4165	secY
gi|15829793|ref|NP_308566.1|	amino acid/amine transport protein	ECs0539	NA
gi|15829792|ref|NP_308565.1|	glutaminase	ECs0538	NA
gi|15829791|ref|NP_308564.1|	copper exporting ATPase	ECs0537	copA
gi|15829790|ref|NP_308563.1|	hypothetical protein ECs0536	ECs0536	NA
gi|15829797|ref|NP_308570.1|	ABC transporter ATP-binding protein	ECs0543	NA
gi|15829796|ref|NP_308569.1|	hypothetical protein ECs0542	ECs0542	NA
gi|15829795|ref|NP_308568.1|	hypothetical protein ECs0541	ECs0541	NA
gi|15829794|ref|NP_308567.1|	outer membrane transport protein	ECs0540	NA
gi|15830647|ref|NP_309420.1|	hypothetical protein ECs1393	ECs1393	NA
gi|15830646|ref|NP_309419.1|	hypothetical protein ECs1392	ECs1392	NA
gi|15829799|ref|NP_308572.1|	DNA-binding transcriptional regulator CueR	ECs0545	NA
gi|15829798|ref|NP_308571.1|	membrane fusion protein of a transport system	ECs0544	NA
gi|15830643|ref|NP_309416.1|	hypothetical protein ECs1389	ECs1389	NA
gi|15830642|ref|NP_309415.1|	transcriptional regulator	ECs1388	NA
gi|15830641|ref|NP_309414.1|	hypothetical protein ECs1387	ECs1387	NA
gi|15830640|ref|NP_309413.1|	hypothetical protein ECs1386	ECs1386	NA
gi|15829551|ref|NP_308324.1|	polarity suppression protein	ECs0297	NA
gi|15829550|ref|NP_308323.1|	Ogr family transcription activator	ECs0296	NA
gi|15829553|ref|NP_308326.1|	DNA binding protein	ECs0299	NA
gi|15829552|ref|NP_308325.1|	head size determination protein	ECs0298	NA
gi|15830089|ref|NP_308862.1|	minor tail protein	ECs0835	NA
gi|15830088|ref|NP_308861.1|	major tail protein	ECs0834	NA
gi|15829557|ref|NP_308330.1|	DNA primase	ECs0303	NA
gi|15829556|ref|NP_308329.1|	Cnr-like protein	ECs0302	NA
gi|15829559|ref|NP_308332.1|	hypothetical protein ECs0305	ECs0305	NA
gi|15829558|ref|NP_308331.1|	hypothetical protein ECs0304	ECs0304	NA
gi|15830087|ref|NP_308860.1|	minor tail protein	ECs0833	NA
gi|15830086|ref|NP_308859.1|	minor tail protein	ECs0832	NA
gi|15830081|ref|NP_308854.1|	portal protein	ECs0827	NA
gi|15830080|ref|NP_308853.1|	hypothetical protein ECs0826	ECs0826	NA
gi|15830083|ref|NP_308856.1|	protease/scaffold protein	ECs0829	NA
gi|15830082|ref|NP_308855.1|	hypothetical protein ECs0828, partial	ECs0828	NA
gi|15834463|ref|NP_313236.1|	fructose-1,6-bisphosphatase	ECs5209	NA
gi|15831701|ref|NP_310474.1|	nucleotide excision repair endonuclease	ECs2447	NA
gi|15833096|ref|NP_311869.1|	transporter	ECs3842	NA
gi|15832880|ref|NP_311653.1|	transporter	ECs3626	NA
gi|15834072|ref|NP_312845.1|	formate dehydrogenase-O subunit gamma	ECs4818	NA
gi|38704054|ref|NP_944551.1|	hypothetical protein ECs5480	ECs5480	NA
gi|15834173|ref|NP_312946.1|	NADH pyrophosphatase	ECs4919	nudC
gi|15832018|ref|NP_310791.1|	hypothetical protein ECs2764	ECs2764	NA
gi|15832019|ref|NP_310792.1|	cell division control protein	ECs2765	NA
gi|15834570|ref|NP_313343.1|	transporter	ECs5316	NA
gi|15832014|ref|NP_310787.1|	hypothetical protein ECs2760	ECs2760	NA
gi|15832015|ref|NP_310788.1|	hypothetical protein ECs2761	ECs2761	NA
gi|15832016|ref|NP_310789.1|	phage replication protein	ECs2762	NA
gi|15832017|ref|NP_310790.1|	hypothetical protein ECs2763	ECs2763	NA
gi|15832010|ref|NP_310783.1|	hypothetical protein ECs2756	ECs2756	NA
gi|15832011|ref|NP_310784.1|	hypothetical protein ECs2757	ECs2757	NA
gi|15832012|ref|NP_310785.1|	hypothetical protein ECs2758	ECs2758	NA
gi|15832013|ref|NP_310786.1|	hypothetical protein ECs2759	ECs2759	NA
gi|15834525|ref|NP_313298.1|	tyrosine recombinase	ECs5271	NA
gi|15831608|ref|NP_310381.1|	hypothetical protein ECs2354	ECs2354	NA
gi|15831609|ref|NP_310382.1|	superoxide dismutase	ECs2355	NA
gi|15831604|ref|NP_310377.1|	outer membrane protein	ECs2350	NA
gi|15834426|ref|NP_313199.1|	3-keto-L-gulonate-6-phosphate decarboxylase	ECs5172	ulaD
gi|15831606|ref|NP_310379.1|	hypothetical protein ECs2352	ECs2352	NA
gi|15833090|ref|NP_311863.1|	tRNA (guanine-N(7)-)-methyltransferase	ECs3836	trmB
gi|15831600|ref|NP_310373.1|	tyrosyl-tRNA synthetase	ECs2346	NA
gi|15831601|ref|NP_310374.1|	pyridoxamine 5'-phosphate oxidase	ECs2347	NA
gi|15831603|ref|NP_310376.1|	anhydro-N-acetylmuramic acid kinase	ECs2349	anmK
gi|15834567|ref|NP_313340.1|	carbon starvation protein	ECs5313	NA
gi|15832720|ref|NP_311493.1|	hypothetical protein ECs3466	ECs3466	NA
gi|38704099|ref|NP_311416.2|	aminopeptidase	ECs3389	NA
gi|15832721|ref|NP_311494.1|	hypothetical protein ECs3467	ECs3467	NA
gi|38704158|ref|NP_944562.1|	hypothetical protein ECs5530	ECs5530	NA
gi|15834188|ref|NP_312961.1|	bifunctional isocitrate dehydrogenase kinase/phosphatase	ECs4934	aceK
gi|15834189|ref|NP_312962.1|	regulator of acetyl CoA synthetase	ECs4935	NA
gi|15834180|ref|NP_312953.1|	sensor protein ZraS	ECs4926	NA
gi|15834181|ref|NP_312954.1|	transcriptional regulatory protein ZraR	ECs4927	NA
gi|15834182|ref|NP_312955.1|	phosphoribosylamine--glycine ligase	ECs4928	NA
gi|15834183|ref|NP_312956.1|	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	ECs4929	purH
gi|15834184|ref|NP_312957.1|	hypothetical protein ECs4930	ECs4930	NA
gi|38704052|ref|NP_310946.2|	ATPase	ECs2919	NA
gi|15834186|ref|NP_312959.1|	malate synthase	ECs4932	NA
gi|15834187|ref|NP_312960.1|	isocitrate lyase	ECs4933	NA
gi|15834473|ref|NP_313246.1|	magnesium-transporting ATPase MgtA	ECs5219	NA
gi|15832033|ref|NP_310806.1|	AMP nucleosidase	ECs2779	NA
gi|15833708|ref|NP_312481.1|	periplasmic alpha-amylase	ECs4454	malS
gi|15832120|ref|NP_310893.1|	tyrosine phosphatase	ECs2866	NA
gi|15832121|ref|NP_310894.1|	polysaccharide export protein	ECs2867	NA
gi|15832031|ref|NP_310804.1|	hypothetical protein ECs2777	ECs2777	NA
gi|15832124|ref|NP_310897.1|	hypothetical protein ECs2870	ECs2870	NA
gi|15832125|ref|NP_310898.1|	assembly protein	ECs2871	NA
gi|15832126|ref|NP_310899.1|	deoxycytidine triphosphate deaminase	ECs2872	dcd
gi|15832729|ref|NP_311502.1|	hypothetical protein ECs3475	ECs3475	NA
gi|15831892|ref|NP_310665.1|	hypothetical protein ECs2638	ECs2638	NA
gi|15831110|ref|NP_309883.1|	lipoprotein	ECs1856	NA
gi|15831111|ref|NP_309884.1|	DeoR family transcriptional regulator	ECs1857	NA
gi|15831112|ref|NP_309885.1|	RNase II stability modulator	ECs1858	NA
gi|15831113|ref|NP_309886.1|	exoribonuclease II	ECs1859	NA
gi|41223295|ref|NP_958721.1|	hypothetical protein ECp023	ECp023	NA
gi|41223294|ref|NP_958720.1|	hypothetical protein ECp021.1n	ECp021.1n	NA
gi|41223297|ref|NP_958722.1|	hypothetical protein ECp025.2n	ECp025.2n	NA
gi|41223296|ref|NP_052630.2|	RepFIB	pO157p24	repFIB
gi|41223299|ref|NP_958724.1|	hypothetical protein ECp054	ECp054	NA
gi|41223298|ref|NP_958723.1|	hypothetical protein ECp042	ECp042	NA
gi|15830467|ref|NP_309240.1|	endolysin	ECs1213	NA
gi|15830466|ref|NP_309239.1|	holin	ECs1212	NA
gi|15830464|ref|NP_309237.1|	hypothetical protein ECs1210	ECs1210	NA
gi|15830463|ref|NP_309236.1|	transposase	ECs1209	NA
gi|15830462|ref|NP_309235.1|	transposase	ECs1208	NA
gi|15830461|ref|NP_309234.1|	hypothetical protein ECs1207	ECs1207	NA
gi|15830460|ref|NP_309233.1|	Shiga toxin 2 subunit B	ECs1206	NA
gi|162139769|ref|NP_311225.2|	hypothetical protein ECs3198	ECs3198	NA
gi|15830469|ref|NP_309242.1|	endopeptidase	ECs1215	NA
gi|15830468|ref|NP_309241.1|	antirepressor protein	ECs1214	NA
gi|15833605|ref|NP_312378.1|	phosphotransferase system enzyme IIB	ECs4351	NA
gi|15834518|ref|NP_313291.1|	DNA helicase	ECs5264	NA
gi|15834420|ref|NP_313193.1|	esterase	ECs5166	NA
gi|38704204|ref|NP_312777.2|	hypothetical protein ECs4750	ECs4750	NA
gi|15834109|ref|NP_312882.1|	hypothetical protein ECs4855	ECs4855	NA
gi|15834422|ref|NP_313195.1|	L-ascorbate 6-phosphate lactonase	ECs5168	NA
gi|38704176|ref|NP_312440.2|	cellulose synthase catalytic subunit	ECs4413	bcsA
gi|15833397|ref|NP_312170.1|	transport system permease	ECs4143	NA
gi|15833833|ref|NP_312606.1|	hypothetical protein ECs4579	ECs4579	NA
gi|15833390|ref|NP_312163.1|	DNA-binding transcriptional regulator EnvR	ECs4136	NA
gi|15833691|ref|NP_312464.1|	outer membrane lipoprotein	ECs4437	NA
gi|15833391|ref|NP_312164.1|	transmembrane protein affects septum formation and cell membrane permeability	ECs4137	NA
gi|15832234|ref|NP_311007.1|	protein NinE	ECs2980	NA
gi|15832235|ref|NP_311008.1|	DNA methylase	ECs2981	NA
gi|15832236|ref|NP_311009.1|	hypothetical protein ECs2982	ECs2982	NA
gi|15832237|ref|NP_311010.1|	hypothetical protein ECs2983	ECs2983	NA
gi|15832230|ref|NP_311003.1|	hypothetical protein ECs2976	ECs2976	NA
gi|15832231|ref|NP_311004.1|	hypothetical protein ECs2977	ECs2977	NA
gi|15832232|ref|NP_311005.1|	hypothetical protein ECs2978	ECs2978	NA
gi|15832233|ref|NP_311006.1|	hypothetical protein ECs2979	ECs2979	NA
gi|15832238|ref|NP_311011.1|	hypothetical protein ECs2984	ECs2984	NA
gi|15832239|ref|NP_311012.1|	Ren protein	ECs2985	NA
gi|15834421|ref|NP_313194.1|	transcriptional repressor UlaR	ECs5167	NA
gi|15832263|ref|NP_311036.1|	hypothetical protein ECs3009	ECs3009	NA
gi|15830519|ref|NP_309292.1|	hypothetical protein ECs1265	ECs1265	NA
gi|15830518|ref|NP_309291.1|	hypothetical protein ECs1264	ECs1264	NA
gi|15831020|ref|NP_309793.1|	DNA-binding transcriptional regulator DicC	ECs1766	NA
gi|15831021|ref|NP_309794.1|	hypothetical protein ECs1767	ECs1767	NA
gi|15831022|ref|NP_309795.1|	hypothetical protein ECs1768	ECs1768	NA
gi|15831023|ref|NP_309796.1|	phage replication protein	ECs1769	NA
gi|15830513|ref|NP_309286.1|	tet operon regulator	ECs1259	NA
gi|15834519|ref|NP_313292.1|	hypothetical protein ECs5265	ECs5265	NA
gi|15830510|ref|NP_309283.1|	hypothetical protein ECs1256	ECs1256	NA
gi|15830517|ref|NP_309290.1|	cytochrome	ECs1263	NA
gi|15830516|ref|NP_309289.1|	hypothetical protein ECs1262	ECs1262	NA
gi|15830515|ref|NP_309288.1|	major sodium/proline symporter	ECs1261	NA
gi|15830514|ref|NP_309287.1|	trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	ECs1260	putA
gi|15831990|ref|NP_310763.1|	terminase small subunit	ECs2736	NA
gi|15832260|ref|NP_311033.1|	C4-type zinc finger protein	ECs3006	NA
gi|15829707|ref|NP_308480.1|	maltodextrin glucosidase	ECs0453	NA
gi|15832267|ref|NP_311040.1|	integrase	ECs3013	NA
gi|15831992|ref|NP_310765.1|	endopeptidase	ECs2739	NA
gi|15832266|ref|NP_311039.1|	excisionase	ECs3012	NA
gi|15832265|ref|NP_311038.1|	hypothetical protein ECs3011	ECs3011	NA
gi|15831994|ref|NP_310767.1|	hypothetical protein ECs2740	ECs2740	NA
gi|15832264|ref|NP_311037.1|	hypothetical protein ECs3010	ECs3010	NA
gi|15831765|ref|NP_310538.1|	hypothetical protein ECs2511	ECs2511	NA
gi|15831995|ref|NP_310768.1|	endolysin	ECs2741	NA
gi|15832348|ref|NP_311121.1|	quinol dehydrogenase periplasmic component	ECs3094	napG
gi|15831374|ref|NP_310147.1|	ABC transporter ATP-binding protein	ECs2120	NA
gi|15833293|ref|NP_312066.1|	collagenase	ECs4039	NA
gi|15833292|ref|NP_312065.1|	hypothetical protein ECs4038	ECs4038	NA
gi|15833295|ref|NP_312068.1|	hypothetical protein ECs4041	ECs4041	NA
gi|15831996|ref|NP_310769.1|	hypothetical protein ECs2742	ECs2742	NA
gi|38704221|ref|NP_312952.2|	zinc resistance protein	ECs4925	zraP
gi|15831375|ref|NP_310148.1|	transport system permease	ECs2121	NA
gi|15832340|ref|NP_311113.1|	cytochrome c-type biogenesis protein CcmE	ECs3086	NA
gi|15832341|ref|NP_311114.1|	heme exporter protein C	ECs3087	NA
gi|15831970|ref|NP_310743.1|	hypothetical protein ECs2716	ECs2716	NA
gi|15831997|ref|NP_310770.1|	holin	ECs2743	NA
gi|15832344|ref|NP_311117.1|	cytochrome c biogenesis protein CcmA	ECs3090	NA
gi|15831376|ref|NP_310149.1|	transport system permease	ECs2122	NA
gi|15832347|ref|NP_311120.1|	quinol dehydrogenase membrane component	ECs3093	napH
gi|15831338|ref|NP_310111.1|	30S ribosomal subunit S22	ECs2084	rpsV
gi|38703959|ref|NP_309901.2|	glutamine synthetase	ECs1874	NA
gi|38703958|ref|NP_309900.2|	amino acid/amine transport protein	ECs1873	NA
gi|38704165|ref|NP_312268.2|	phosphatase	ECs4241	NA
gi|38703953|ref|NP_944527.1|	hypothetical protein ECs5428	ECs5428	NA
gi|38703952|ref|NP_944526.1|	hypothetical protein ECs5426	ECs5426	NA
gi|38703951|ref|NP_309775.2|	dsDNA-mimic protein	ECs1748	NA
gi|38703950|ref|NP_944525.1|	hypothetical protein ECs5423	ECs5423	NA
gi|38703957|ref|NP_944529.1|	hypothetical protein ECs5432	ECs5432	NA
gi|38703955|ref|NP_309858.2|	hypothetical protein ECs1831	ECs1831	NA
gi|38703954|ref|NP_944528.1|	hypothetical protein ECs5431	ECs5431	NA
gi|15830610|ref|NP_309383.1|	protein TerE	ECs1356	NA
gi|15834216|ref|NP_312989.1|	endolysin	ECs4962	NA
gi|15834558|ref|NP_313331.1|	hypothetical protein ECs5304	ECs5304	NA
gi|15830611|ref|NP_309384.1|	hypothetical protein ECs1357	ECs1357	NA
gi|15831971|ref|NP_310744.1|	tail fiber protein	ECs2717	NA
gi|15831373|ref|NP_310146.1|	SORC-type transcriptional regulator	ECs2119	NA
gi|15830612|ref|NP_309385.1|	protein TerF	ECs1358	NA
gi|15832645|ref|NP_311418.1|	[2FE-2S] ferredoxin	ECs3391	NA
gi|15831073|ref|NP_309846.1|	hypothetical protein ECs1819	ECs1819	NA
gi|15832647|ref|NP_311420.1|	co-chaperone HscB	ECs3393	hscB
gi|15830613|ref|NP_309386.1|	hypothetical protein ECs1359	ECs1359	NA
gi|15832640|ref|NP_311413.1|	hypothetical protein ECs3386	ECs3386	NA
gi|15831072|ref|NP_309845.1|	hypothetical protein ECs1818	ECs1818	NA
gi|15830614|ref|NP_309387.1|	bifunctional enterobactin receptor/adhesin protein	ECs1360	NA
gi|15831118|ref|NP_309891.1|	multidrug-efflux transport protein	ECs1864	NA
gi|15832649|ref|NP_311422.1|	scaffold protein	ECs3395	NA
gi|15832648|ref|NP_311421.1|	iron-sulfur cluster assembly protein	ECs3394	iscA
